鬠ｿ"CDPROJETO","NOMEPROJETO","TOTAL","CONFERIDOS","EM_USO","A_DISPOSICAO","CONSERTO","BAIXADO"
"8","SEDE","8757","4713","3765","435","3","6"
"16","CEF - SC","1","1","1","0","0","0"
"104","CELESC","2","0","0","0","0","0"
"137","ARCADIS","5","0","3","0","0","0"
"144","MF-RJ","1","1","1","0","0","0"
"195","PLANSUL - RJ","173","19","163","6","3","0"
"196","PLANSUL - SE","2","0","2","0","0","0"
"197","PLANSUL - MG","692","107","662","6","2","0"
"198","PLANSUL - CE","16","7","14","0","0","0"
"199","PLANSUL - PR","198","60","186","9","0","0"
"200","FILIAL-RS","243","21","184","33","1","0"
"358","MF-RS-2","5","0","5","0","0","0"
"377","BANRISUL-2","9","0","9","0","0","0"
"379","CAIXA RS 9","957","303","930","12","3","0"
"407","PLANSUL - DF","76","4","76","0","0","0"
"413","BB-ES","1","0","1","0","0","0"
"445","UFSC-2","15","0","4","0","0","0"
"457","SESAI-2","2","0","2","0","0","0"
"463","MF-SC","35","12","0","0","0","0"
"487","CEF-SC/LIMP-6","110","5","0","0","0","0"
"492","BB-SC-3","1","0","0","0","0","0"
"494","MP-SE","21","0","20","1","0","0"
"501","PR-SC-FLORIANOPOLIS","10","1","0","0","0","0"
"522","TJ-MG-1","3","0","3","0","0","0"
"523","TJ-MG-2","1","0","1","0","0","0"
"530","PLANSUL - SC","81","7","5","0","0","0"
"545","PLANSUL - SP","103","3","99","1","0","0"
"552","PLANSUL BAURU","3","0","3","0","0","0"
"570","ESCRIT笏愿ｴRIO-MS","22","1","20","1","1","0"
"571","ESCRIT笏愿ｴRIO-GO","324","30","324","0","0","0"
"573","ESCRIT笏愿ｴRIO-ES","1","0","1","0","0","0"
"577","CEF-SC-7","3","0","0","0","0","0"
"589","SENADO-8","5","0","5","0","0","0"
"608","FUNARTE-2","28","2","28","0","0","0"
"610","TJ-MG-7","283","6","275","0","0","0"
"613","DRT-SC","5","5","0","0","0","0"
"618","TRT-SC-2","1","1","0","0","0","0"
"620","INMETRO-RJ","1","0","1","0","0","0"
"630","TST-DF-4","4","0","4","0","0","0"
"631","TJ-MG-8","174","3","173","0","0","0"
"632","BB-SC-5","12","12","0","0","0","0"
"633","TJ-MG-9","4","0","4","0","0","0"
"642","SEEC-PR","1","0","1","0","0","0"
"648","MP-MG","193","12","165","0","0","0"
"650","INSS-RJ","35","21","0","0","0","0"
"656","CETEM-ES","8","0","8","0","0","0"
"660","TJ-RJ2","1","0","1","0","0","0"
"664","ALMG","74","36","41","0","0","0"
"665","ESCRIT笏愿ｴRIO-BA","55","0","55","0","0","0"
"667","INCRA-RJ","1","1","1","0","0","0"
"672","TJ-SC-3","18","18","9","0","0","0"
"673","ANPRF-SC","19","6","0","0","0","0"
"679","ELETROSUL-3","3","3","3","0","0","0"
"680","ME-MT","1","0","1","0","0","0"
"681","FUNASA-MT","2","0","2","0","0","0"
"682","ESCRIT笏愿ｴRIO-MT2","48","4","46","0","0","0"
"684","ESCRIT笏愿ｴRIO-AL","1","0","1","0","0","0"
"692","BB-ES-3","27","1","26","0","0","0"
"693","SENADO-9","1","0","1","0","0","0"
"695","SENADO-10","12","0","12","0","0","0"
"706","SENADO-11","4","0","4","0","0","0"
"721","CEF-PR-8","1347","48","1334","1","0","0"
"736","CEF-MG-2","810","56","808","2","0","0"
"739","INSS-DF","8","0","8","0","0","0"
"750","PLANSUL-COLOMBO-PR","198","52","72","125","0","0"
"756","SENADO-12","2","0","2","0","0","0"
"773","TJ-MG-11","113","24","109","0","0","0"
"777","EBSERH-BA","25","0","25","0","0","0"
"797","SIE-SC-2","1","0","0","0","0","0"
"809","UNIFAL-MG-3","1","0","1","0","0","0"
"812","CEF-MT","111","45","110","1","0","0"
"813","ICMBIO-SC-2","45","4","34","0","0","0"
"835","TJ GO 1","4","0","4","0","0","0"
"836","TJ GO 2","2","0","2","0","0","0"
"841","IFBA -BA","5","0","3","2","0","0"
"843","SENADO-14","1","0","1","0","0","0"
"846","SENADO-15","3","0","2","0","0","0"
"852","BANRISUL 3","3","1","3","0","0","0"
"855","BB-ES-4","22","1","22","0","0","0"
"856","UFSC-3","1","0","1","0","0","0"
"868","PRF-SC-4","25","22","22","0","0","0"
"869","MINTUR","3","0","3","0","0","0"
"870","MINC","7","0","7","0","0","0"
"877","COPEL-PR","1382","189","224","1156","0","0"
"878","BB-SC-8","5","1","1","0","0","0"
"882","MGISP-SC","13","0","0","0","0","0"
"884","DNIT-SE","1","0","1","0","0","0"
"888","TJ-MG-15","176","27","174","0","0","0"
"889","TJ-MG-16","113","4","112","0","0","0"
"890","PALMARES-DF","3","0","3","0","0","0"
"891","ANPD-DF","1","0","0","1","0","0"
"898","BCB-2","2","0","1","0","0","0"
"905","ALESC","1","0","1","0","0","0"
"917","BANRISUL-SC","25","2","17","0","0","0"
"920","FUFMT-4","225","42","225","0","0","0"
"928","CAMARA-TV-4","3","3","3","0","0","0"
"929","TSE-DF","1","1","1","0","0","0"
"934","CAIXA-PB","13","11","13","0","0","0"
"940","CAIXA-SC-9","37","37","35","2","0","0"
"942","MP-RJ","6","6","6","0","0","0"
"943","PF-SP-7","3","3","3","0","0","0"
"944","CM-DIVIN笏愿ｴPOLIS-MG","1","1","1","0","0","0"
"9550","PLANSUL - ES","1","0","1","0","0","0"
"100001","PLANSUL EMPRESA","199","108","7","0","1","0"
"999914","ARQUIVO CENTRAL","122","122","122","0","0","0"
"999915","ALMOXARIFADO CENTRAL","891","891","21","626","94","0"
"","TOTAIS",18855,7127,10896,2420,108,6
